ssid,customerid,name,country,realm_name,imsi_prefix,status,dra,connection,coveragestatus,productcomment,commercialstatus,owner,region,tagid,technicalcomment,hub,hub_policy,LIST,LISTREGION
7471,1750,Afghan Wireless Communication Company ,Afghanistan,epc.mnc001.mcc412.3gppnetwork.org,41201,hidden,,Indirect,Live,,,,EMEA,AFGAW,,:Comfone,Comfone:Prefered(Default),LIST_7471_AFGHAN_WIRELESS_COMMUNICATION_COMPANY,"EU,NA"
12579,1751,Etisalat Afghanistan,Afghanistan,epc.mnc050.mcc412.3gppnetwork.org,41250,hidden,,Indirect,,,,,EMEA,AFGEA,,:ETISALAT UAE DSS Peer,ETISALAT UAE DSS Peer:Need approval,LIST_12579_ETISALAT_AFGHANISTAN,EU
12743,1727,TDCA (Roshan) Afghanistan,Afghanistan,epc.mnc020.mcc412.3gppnetwork.org,41220,hidden,,Indirect,,,,,,AFGTD,"We do not have this OPs defalut peering hub information now, so decide route, request filter and list cache are all not configured on DSC, it is only used for K2R route currently, if get their IPX provider info in the future, will bring it online completely by then.--------2018-07-17
",:Comfone K2R,Comfone K2R:Prefered(Default),,
7087,1403,Albtelecom,Albania,epc.mnc003.mcc276.3gppnetwork.org,27603,online,EU DSC,Direct,Live,,,Jason.Qin@syniverse.com,EMEA,ALBEM,"*K2R route shall be opened by owner 
*AIR Destination realm:dra.ipx.syniverse.3gppnetwork.org
",:Comfone K2R,Comfone K2R:Prefered(Default),LIST_7087_ALBTELECOM,EU
7029,1310,AMC,Albania,epc.mnc001.mcc276.3gppnetwork.org,27601,online,,Indirect,Live,,,,EMEA,ALBAM,,:TeliaSonera,TeliaSonera:Prefered(Default),LIST_7029_AMC,NA
6958,713,Vodafone Albania,Albania,epc.mnc002.mcc276.3gppnetwork.org,27602,online,,Indirect,Live,,,,EMEA,ALBVF,,:VCS,VCS:Prefered(Default),LIST_6958_VODAFONE_ALBANIA,EU
7435,712,Djezzy Algeria,Algeria,epc.mnc002.mcc603.3gppnetwork.org,60302,online,,Indirect,Live,,,,EMEA,DZAOT,,:BICS,BICS:Prefered(Default),LIST_7435_DJEZZY_ALGERIA,"EU,NA"
7426,862,MOBILIS,Algeria,epc.mnc001.mcc603.3gppnetwork.org,60301,online,,Indirect,Live,,,,EMEA,DZAA1,,:FT,FT:Prefered(Default),LIST_7426_MOBILIS,"EU,NA"
7495,820,Wataniya Algeria,Algeria,epc.mnc003.mcc603.3gppnetwork.org,60303,online,,Indirect,Live,,,,EMEA,DZAWT,,:FT,FT:Prefered(Default),LIST_7495_WATANIYA_ALGERIA,"EU,NA"
12536,1884,Blue Sky Communications,American Samoa,,,,,Indirect,,,,,,,,:Comfone,Comfone:Prefered(Default),,
7476,831,STA Andorra,Andorra,epc.mnc003.mcc213.3gppnetwork.org,21303,online,,Indirect,Live,,,,EMEA,ANDMA,,:FT:TIWS,"FT:Not prefered no Need approval
TIWS:Prefered(Default)",LIST_7476_STA_ANDORRA,"EU,NA"
12511,2468,Movicel Angola,Angola,epc.mnc004.mcc631.3gppnetwork.org,63104,hidden,,Indirect,,,,,CALA,AGOMV,,:TIWS,TIWS:Prefered(Default),LIST_12511_MOVICEL_ANGOLA,NA
12733,1752,UNITEL S.a.r.l.,Angola,epc.mnc002.mcc631.3gppnetwork.org,63102,online,,Indirect,,,,,EMEA,AGOUT,,:BICS,BICS:Prefered(Default),LIST_12733_UNITEL_SARL,"EU,NA"
7337,1653,Cable and Wireless Anguilla,Anguilla,epc.mnc840.mcc365.3gppnetwork.org,365840,group,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,AIACW,Cable and wireless group member,,,,
6626,1911,Digicel Anguilla,Anguilla,epc.mnc050.mcc338.3gppnetwork.org,33850,,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,"Group operators by March2017 have  (27) Digicel markets of this twenty-seven (27), seven (7) are LTE  including:

Antigua  
Barbados 
BVI      
Cayman   
Jamaica  
TCI      
Anguilla 
",,,,
7056,1654,Cable and Wireless Antigua,Antigua and Barbuda,epc.mnc920.mcc344.3gppnetwork.org,344920,group,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,ATGCW,Cable and wireless group member,,,,
7095,489,AMX Argentina S.A.(Claro),Argentina,epc.mnc310.mcc722.3gppnetwork.org,722310,online,,Indirect,Live,,,,CALA,ARGCM,,:iBasis,iBasis:Prefered(Default),LIST_7095_AMX_ARGENTINA_SACLARO,NA
7020,515,Telecom Personal SA,Argentina,epc.mnc034.mcc722.3gppnetwork.org,72234,hidden,,Indirect,Live,,,,CALA,ARGTP;ARGVO,Migrate from TIS to comfone on 20070818,:Comfone,Comfone:Need approval,LIST_7020_TELECOM_PERSONAL_SA,"EU,NA"
7044,842,Telefonica Argentina,Argentina,epc.mnc007.mcc722.3gppnetwork.org,72207,online,,Indirect,Live,,,,CALA,ARGTM;ARG01,,:TIWS,TIWS:Prefered(Default),LIST_7044_TELEFONICA_ARGENTINA,NA
7313,1597,Armentel,Armenia,epc.mnc001.mcc283.3gppnetwork.org,28301,online,,Indirect,Live,,,,EMEA,ARM01,,:iBasis,iBasis:Prefered(Default),LIST_7313_ARMENTEL,EU
6975,1268,K-Telecom,Armenia,epc.mnc005.mcc283.3gppnetwork.org,28305,online,A6AP,Indirect,Live,,,,EMEA,ARM05,,:BICS:MTT:Comfone:MTS Russia,"BICS:Prefered(Default)
MTT:Need approval
Comfone:Need approval
MTS Russia:Prefered(Default)",LIST_6975_KTELECOM,"EU,NA"
7437,1678,Orange Armenia,Armenia,epc.mnc010.mcc283.3gppnetwork.org,28310,online,,Indirect,,,,,,ARMOR,,:FT,FT:Prefered(Default),LIST_7437_ORANGE_ARMENIA,"EU,NA"
12555,1431,Digicel Aruba,Aruba,epc.mnc002.mcc363.3gppnetwork.org,36302,online,"Digicel Jamaica, NA DSC",Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,ABWDC,,,,LIST_12555_DIGICEL_ARUBA,NA
7318,835,SETAR,Aruba,epc.mnc001.mcc363.3gppnetwork.org,36301,online,,Indirect,Live,,,,CALA,ABWSE,,:BICS,BICS:Prefered(Default),LIST_7318_SETAR,"EU,NA"
6085,2081,Optus,Australia,epc.mnc002.mcc505.3gppnetwork.org,50502,online,AP DSC,Direct,Live,,,Jason.Qin@syniverse.com,Asia Pacific,AUSOP,,:BICS,BICS:Need approval,LIST_6085_OPTUS,AP
6219,478,Telstra,Australia,epc.mnc001.mcc505.3gppnetwork.org,50501,online,,Indirect,Live,,,,Asia Pacific,AUSTA,The imsi range 5050156x are wholesale imsis. Wholesale currently does not have LTE roaming for Softbank- telstra DEA will reply with 3002,:Telstra,Telstra:Prefered(Default),LIST_6219_TELSTRA,NA
6609,2744,Telstra DSS Peer,Australia,,,,NA DSC,Peer,,,,,,,Updated on 17tg May: Telstra HUB should be connected with S9NA(NADSR) rather than BICS,,,,
6793,396,Vodafone Australia,Australia,epc.mnc003.mcc505.3gppnetwork.org,50503,online,,Indirect,Live,,,,Asia Pacific,AUSVF,,:BICS:TATA,"BICS:Prefered(Default)
TATA:Need approval",LIST_6793_VODAFONE_AUSTRALIA,"EU,NA"
6731,495,A1 Telekom Austria,Austria,epc.mnc001.mcc232.3gppnetwork.org,23201,online,,Indirect,Live,,,,Asia Pacific,AUTPT;AUTMK;AUTON,,:TelecomAustria,TelecomAustria:Prefered(Default),LIST_6731_A1_TELEKOM_AUSTRIA,EU
12499,2710,BOB Austria,Austria,epc.mnc011.mcc232.3gppnetwork.org,23211,online,,Indirect,,,,,EMEA,AUTMK,,:TelecomAustria,TelecomAustria:Prefered(Default),LIST_12499_BOB_AUSTRIA,EU
6951,339,Hutchison 3G Austria GmbH,Austria,epc.mnc005.mcc232.3gppnetwork.org,"23205,23210",online,,Indirect,Live,,,,Asia Pacific,AUTCA,,:TelecomAustria,TelecomAustria:Prefered(Default),LIST_6951_HUTCHISON_3G_AUSTRIA_GMBH,EU
