name,MCCMNC,ChineseName,TADIG,DRAIMSIPrefix
A1 Slovenia,29340,,SVNSM
A1 Telekom Austria,23212;23201;23209;23215;23211;23212;23201;23209;23215;23211;23212;23201;23209;23215;23211,,AUTPT;AUTMK;AUTON
Advanced Wireless Network,52003,,THAWN
AeroMobile,90114,,NORAM
Afghan Wireless Communication Company ,41201,,AFGAW
Africell (Gambia) Ltd,60702,,GMBAC
Africell RDC sprl,63090,,CODAC
Africell Sierra Leone,61905,,SLEAC
Aicent,,,
Airtel Chad,62201,,TCDCT
Airtel Networks Kenya,63903;63903;63905;63905,,KENKC
Airtel Nigeria,62120,,NGAET
Alands Mobiltelefon,24414,,FINAM
Alaska Wireless Network,311370;311370,,USAGC
Albtelecom,27603,,ALBEM
Alfa Telecom,43705,,KGZMC
Altel-Mobile network Kazakhstan,40107,,
AMC,27601,,ALBAM
AMX Argentina S.A.(Claro),722310,,ARGCM
Antel,74801,,URYAN
AP-HKG-DSC-01,,,
AP-SNG-DSC-01,,,
Appalachian Wireless,312130,,
Armentel,28301,,ARM01
AS EMT,24801,,ESTEM
Asia Pacific Telecom,46605;466005,,TWNAP
AT&T (mobilephone) Lab,,,
At&t Cricket,310150,,USACG
AT&T Mobility,310410;310280;310150;313100;310030;310170;310380,,USAAT
AT&T Mobility Maritime,90118;901180,,
AT&T-310030,,,USACG
AT&T-310280,,,USACG
AT&T-310380,,,USACG
AT&T-313100,,,USACG
AT&T-JASPER-310150,,,USACG
AT&T-JASPER-310170,,,USACG
Atlantique Telecom,61202,,CIV02
Avea,28604;28603,,TURIS
Azercell,40001;40001;40006;40006,,AZEAC
Azerfon,40004,,AZEAF
B-Mobile Bhutan,40211;402116;402118;402119;402111;402110;402115;402114;402112,,BTNBM
B-Mobile SLB,54002,,
Babilon-Mobile,43604,,TJKBM
BAKCELL Ltd,40002,,AZEBC
Banglalink,47003,,BGDBL
Batelco Bahrain,42601;42605,,BHRBT
Beeline(Unitel) Uzbekistan,43404,,UZBDU
Beezz Communication,42523,,
Belize Telecom,70267,,BLZ67
Bell Mobility,302610;302610,,CANBM
Best Belarus,25704,,BLRBT
BH Telecom,21890,,BIHPT
Bharti Airtel India,40492;40431;40551;40497;40470;40555;40403;40416;40495;40449;405551;40402;40553;40494;40445;405550;40552;40492;40431;40556;40497;40490;40555;40410;40416;40496;40470;405552;40402;40554;40495;40445;405551;40552;40493;40440;40556;40498;40498;40492;40431;40551;40497;40470;40555;40403;40416;40495;40449;405551;40402;40553;40494;40445;405550;40552;40493;40431;40556;40497;40490;40555;40410;40416;40496;40470;405552;40402;40554;40495;40445;405551;40552;40493;40440;40556;40556;40498;40492;40431;40551;40497;40470;40555;40403;40416;40495;40449;405551;40402;40553;40494;40445;405550;40552;40493;40431;40556;40497;40490;40410;40416;40496;40470;405552;40403;40554;40495;40445;405551;40553;40493;40440;40556;40498;40492;40431;40551;40497;40490;40555;40403;40416;40495;40449;405551;40402;40553;40494;40445;405550;40552;40493;40431;40556;40497;40490;40410;40416;40496;40470;405552;40403;40554;40495;40445;40553;40493;40440;40440;40556;40498;40492;40431;40551;40497;40490;40555;40403;40416;40495;40449;405552;40402;40553;40494;40445;405550,,INDAT;INDA
BICS SMS peering,,,
BITE Latvia,24705,,LVABT
BITE Lithuania,24602,,LTUMT
Blue Sky Communications,54411;544110;554110,,
Bluegrass Cellular LLC,311440;311810,,
BMobile Limited,53701,,PNGPM
BOB Austria,23211,,AUTMK
Bouygues Telecom,20808;20820;20888,,FRAF3
Bragg Communications,302270,,CANEL
BT Global Services Peer,,,
BTC Bahamas,36439,,BHSBH
BTC Bulgaria,28403,,BGRVA
Bug Tussel,311330,,USABT
C Spire,,,USACM
Cable and Wireless Anguilla,365840,,AIACW
Cable and Wireless Antigua,344920,,ATGCW
Cable and Wireless Barbados,342600,,BRBCW
Cable and Wireless British Virgin,348170,,VGBCW
Cable and Wireless Cayman,346140,,CYMCW
Cable and Wireless Dominica,366110,,DMACW
Cable and Wireless Group,,,
Cable and Wireless Jamaica,338180,,JAMCW
Cable and Wireless Panama,71401,,PANCW
Cable and Wireless Seychelles,63301,,SYCCW
Cable and Wireless St Kitts,356110,,KNACW
Cable and Wireless St Lucia,358110,,LCACW
Cable and Wireless Turks,376350,,TCACW
CamGSM,45601,,KHMGM
CCT Boatphone Caribbean,348570,,VGBCC
Celcom,50213;50219;50219;50213,,MYSCC
Cell C,65507,,ZAFCC
Cell One Namibia,64903,,NAM03
Cellcom Israel Ltd,42515;42502;42529,,ISRCL
CELLPLUS MAURITIUS,61701,,MUSCP
Cellular Network Partnership dba Pioneer Cellular,312280,,USAPI
Celtel Gabon,62803,,GABCT
Celtel Malawi,65010,,MWICT
Celtel Zambia,64501,,ZMBCE
Chariton Valley Cellular,311010;311010;311010;311020;311020;311020;312220;312220;312220,,
China Mobile,46002;46002;46002;46007;46007;46007;46013;46013;46013;46000;46000;46000,,CHNCM
China Mobile Hong Kong,45412,,HKGPP
China Telecom,46003;46005;46011,,CHNDX
China Telecom C2G,460996,,
China Unicom,46001;46001;46001;46009;46009;46009,,CHNCU
China Unicom International,45407,,HKGCU
China-Hongkong Telecom,45411,,
Choice Wireless,310630,,
Chunghwa Telecom,46692,,TWNLD
Claro Brazil,72405,,BRACL
Claro Chile,73003,,CHLSM
Claro CR Telecomunicaciones,71203,,CRICL
Claro Guatemala,70401,,GTMSC
Claro Honduras,708001;708040,,HNDME
Claro Panama,71403,,PANCL
Claro Paraguay,74402,,PRYHT
Claro Peru,71610,,PERTM
Claro Puerto Rico,33011;330110,,PRICL
CMI Peer,,,
Cmpak Pakistan,41004,,PAKPL
CNT EP,74002,,RSB04
Colombia Movil,732111;732111;732103;732103,,COLCO
Com4,24209,,NORC4
Comcel Colombia (Claro),732101,,COLCM
Comfone/Infonet Peer,228009;228005,,CHEVI
Commnet Wireless,311040,,USACD
"Compania Dominicana De Telefonos,S.A.",37002,,DOMCL
Conecel,74001,,ECUPG
Conecto,310460,,USA1L
Corporacion Digitel,73402,,VEND2
COSMOTE Mobile Telecommunications,20201,,GRCCO
Croatian Telecom Inc,21901,,HRVCN
Cross Wireless,,,USASK
CSL,,,HKGTC
CTE Telecom Personal,70601,,SLVTP
CTI,74810,,URYAM
CTM,45501;45504,,MACCT
Cubacel,36801,,CUB01
Cubic Telecom,29506,,
Curacao Telecom N.V.,36269,,ANTCT
CVMovel SA,62501,,CPVCV
Cyprus Telecommunications Auth,28001,,CYPCT
DataStream Technology,52801;52811,,BRNBN
DCC,312210,,USAAP
Deutsche Telekom Peering Hub,,,
Dialog Telekom,41302,,LKADG
DiGi,50210;50216,,MYSMT
Digicel (Tonga) Limited,53988,,TONDP
Digicel (Vanuatu) Ltd,54105,,VUTDP
Digicel Anguilla,365050;365777,,
Digicel Antilles,,,
Digicel Aruba,36302,,ABWDC
Digicel British Virgin Islands,348770,,
Digicel Fiji,54202,,FJIDP
Digicel FWI,34020,,FRAF4
Digicel Group ,,,
Digicel Haiti,338778;372050;372778,,
Digicel Jamaica,33805;33805;338050;338050,,JAMDC
Digicel Panama,71404,,PANDC
Digicel Papua New Guinea,53703,,PNGDP
Digicel Samoa,54900,,
Digicel Trinidad and Tobago,37413;374130,,TTODL
Digicel Venezuela,73403,,VEND3
Digital Bermuda,350000,,BMUBD
Djezzy Algeria,60302,,DZAOT
Docomo Pacific,310370;310370;310470;310470,,GUMHT
DRA1.AMS2,,,
DRA1.HKG2,,,
DRA1.LON2,,,
DRA1.NYK1,,,
DRA1.SIN2,,,
DRA1.SJC3,,,
dtac TriNet,52005,,THADT
Du,42403,,AREDU
E-Plus,26203,,DEUE1
Econet Wireless,64804,,ZWEET
Ekaterinburg-2000,25035,,RUSEC
Elisa,24405;24405;24421;24421;25505;25505;25521;25521,,FINRL
ELISA EESTI AS,24802,,ESTRE
Eltopia Communications,312410,,USAEL
Emnify,29509,,EMNLI
EMnify GmbH,90143,,EMNDE
Emtel Ltd,61710,,MUSEM
Enitel,71021;71073,,NICEN
Entel,73602,,BOLME
ENTEL PCS,73001,,CHLPC
Entel Peru,71617,,PERN3
EPT Luxembourg,27001,,LUXPT
Etisalat Afghanistan,41250,,AFGEA
ETISALAT Egypt,60203,,EGYEM
ETISALAT UAE,42402,,ARETC
ETISALAT UAE Peer,,,
EU-AMS-DSC-01,,,
EU-FRT-DSC-01,,,
Evatis (Djibouti Telekom),63801,,DJIDJ
Everything Everywhere UK,23430;23430,,GBRME
Excelcomindo,51008;51011,,IDNEX
Execulink Telecom,302340,,CANET
Expeto Wireless Inc,313260,,
FarEasTone,46601,,TWNFE
Faroese Telecom,28801,,FROFT
Finnet (DNA) Finland,24412,,FIN2G
FranceTelecom Peering Hub,,,
Freedom Mobile,302490,,CANGW
Geocell,28201,,GEOGC
Gibtel,26601,,GIBGT
Gigsky Mobile,,,VIRGS
Globe,51502,,PHLGT
globecomm,311890,,
GlobeTouch EU M2M,,,
Globetouch Sweden,24027;24027;24027;24027,,SWEMI
Globetouch US,312620;312620,,
Grameen Phone,47001,,BGDGP
HALYS,20828;20894,,FRA0F
Hewlett-Packard Communication Frech,20812,,FRAHC
Hewlett-Packard Communication Services LLC,312930,,USAHC
HGC DSS Peer,,,
Hola,74401,,PRYVX
Hong Kong Telecommunications (HKT) Limited 3G,45400;45400;45402;45402;45409;45409;45418;45418;45416;45416;45410;45410;45419;45419,,HKGM3
HOT Mobile,42507,,ISRMS
Hutchison 3G,22299,,ITAH3
Hutchison 3G Austria GmbH,23205;23205;23210;23210,,AUTCA
Hutchison 3G Denmark,23806,,DNKHU
Hutchison 3G Hong Kong,45403;45403;45404;45404,,HKGH3
Hutchison 3G Sweden,24002;24004,,SWEHU
Hutchison 3G UK,23420,,GBRHU
Hutchison Indonesia,51089,,IDN89
Hutchison Macau,45503;45505,,MACHT
iBasis Peer,,,
ICE Communication Norge AS,24214,,NORIC
Ice Wireless GSM,302620,,CANIW
