name,id,item,value
Chunghwa Telecom,6596,DRACustomerRealmName,epc.mnc092.mcc466.3gppnetwork.org
Chunghwa Telecom,6596,DRAIMSIPrefix,46692
Aicent,6869,DRAIMSIPrefix,000
SmarTone Mobile,6362,DRACustomerRealmName,epc.mnc006.mcc454.3gppnetwork.org
SmarTone Mobile,6362,DRAIMSIPrefix,45406
FarEasTone,6556,DRACustomerRealmName,epc.mnc001.mcc466.3gppnetwork.org
FarEasTone,6556,DRAIMSIPrefix,46601
Taiwan Mobile,6595,DRACustomerRealmName,epc.mnc097.mcc466.3gppnetwork.org
Taiwan Mobile,6595,DRAIMSIPrefix,46697
China Mobile Hong Kong,6354,DRACustomerRealmName,epc.mnc012.mcc454.3gppnetwork.org
China Mobile Hong Kong,6354,DRAIMSIPrefix,45412
China Mobile,6585,DRACustomerRealmName,epc.mnc000.mcc460.3gppnetwork.org
China Mobile,6585,DRACustomerRealmName,epc.mnc002.mcc460.3gppnetwork.org
China Mobile,6585,DRACustomerRealmName,epc.mnc007.mcc460.3gppnetwork.org
China Mobile,6585,DRAIMSIPrefix,46000
China Mobile,6585,DRAIMSIPrefix,46002
China Mobile,6585,DRAIMSIPrefix,46007
StarHub,6120,DRACustomerRealmName,epc.mnc005.mcc525.3gppnetwork.org
StarHub,6120,DRAIMSIPrefix,52505
SingTel Mobile,6124,DRACustomerRealmName,epc.mnc001.mcc525.3gppnetwork.org
SingTel Mobile,6124,DRAIMSIPrefix,52501
M1 Limited,6360,DRACustomerRealmName,epc.mnc003.mcc525.3gppnetwork.org
M1 Limited,6360,DRAIMSIPrefix,52503
Dialog Telekom,6312,DRACustomerRealmName,epc.mnc002.mcc413.3gppnetwork.org
Dialog Telekom,6312,DRAIMSIPrefix,41302
Maxis,6504,DRACustomerRealmName,epc.mnc012.mcc502.3gppnetwork.org
Maxis,6504,DRAIMSIPrefix,50212
SMART,6192,DRACustomerRealmName,epc.mnc003.mcc515.3gppnetwork.org
SMART,6192,DRAIMSIPrefix,51503
DiGi,7045,DRACustomerRealmName,epc.mnc016.mcc502.3gppnetwork.org
DiGi,7045,DRAIMSIPrefix,50216
CTM,6962,DRACustomerRealmName,epc.mnc001.mcc455.3gppnetwork.org
CTM,6962,DRAIMSIPrefix,45501
Hutchison Macau,7120,DRACustomerRealmName,epc.mnc003.mcc455.3gppnetwork.org
Hutchison Macau,7120,DRAIMSIPrefix,45503
SK Telecom,6361,DRACustomerRealmName,epc.mnc005.mcc450.3gppnetwork.org
SK Telecom,6361,DRAIMSIPrefix,45005
China Unicom,6684,DRACustomerRealmName,epc.mnc001.mcc460.3gppnetwork.org
China Unicom,6684,DRACustomerRealmName,epc.mnc006.mcc460.3gppnetwork.org
China Unicom,6684,DRACustomerRealmName,epc.mnc009.mcc460.3gppnetwork.org
China Unicom,6684,DRAIMSIPrefix,46001
China Unicom,6684,DRAIMSIPrefix,46006
China Unicom,6684,DRAIMSIPrefix,46009
Comfone/Infonet Peer,6917,CustomerNodeRealm,comfone.com
TDC Mobil AS,6947,DRACustomerRealmName,epc.mnc001.mcc238.3gppnetwork.org
TDC Mobil AS,6947,DRAIMSIPrefix,23801
Telefonica Chile,6622,DRACustomerRealmName,epc.mnc002.mcc730.3gppnetwork.org
