key,value
mobi.eastlink.ca,7268#Bragg-Communications
epc.mnc020.mcc250.3gppnetwork.org,7429#Tele2-Russia
dra.ipx.cmi.3gppnetwork.org,6586#CMI-DSS-Peering
epc.mnc280.mcc312.3gppnetwork.org,12539#Cellular-Network-Partnership-dba-Pioneer-Cellular
epc.mnc007.mcc204.3gppnetwork.org,12571#Teleena-Netherlands
epc.mnc005.mcc220.3gppnetwork.org,7039#VIP-Serbia
mme.epc.mnc031.mcc404.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc043.mcc404.3gppnetwork.org,7271#Vodafone-India-Essar
EPC.MNC123.MCC732.3GPPNETWORK.ORG,6621#Telefonica-Colombia
epc.mnc090.mcc334.3gppnetwork.org,6982#Nextel-Mexico
gam.mnc001.mcc206.3gppnetwork.org,6604#Proximus
epc.mnc093.mcc404.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc180.mcc310.3gppnetwork.org,7302#West-Central-Cellular
epc.mnc007.mcc748.3gppnetwork.org,7042#TM-UY
epc.mnc002.mcc632.3gppnetwork.org,12657#MTN-Bissau
epc.mnc005.mcc414.3gppnetwork.org,7115#Ooredoo-Myanmar-Limited
mnc018.mcc502.3gppnetwork.org,7019#U-Mobile
epc.mnc864.mcc405.3gppnetwork.org,7083#Reliance-Jio
dra.mnc004.mcc520.3gppnetwork.org,6526#Truemove-3G
epc.mnc007.mcc454.3gppnetwork.org,6861#ChinaUnicom-International
epc.mnc094.mcc208.3gppnetwork.org,6916#HALYS
epc.mnc001.mcc455.3gppnetwork.org,6962#CTM
epc.mnc840.mcc365.3gppnetwork.org,7337#CWWI-Anguilla
epc.mnc054.mcc901.3gppnetwork.org,12571#Teleena-Netherlands
epc.mnc003.mcc424.3gppnetwork.org,6795#Du
epc.mnc720.mcc302.3gppnetwork.org,6497#Rogers-Wireless
epc.mnc011.mcc510.3gppnetwork.org,6467#Excelcomindo
epc.mnc004.mcc419.3gppnetwork.org,6678#KTC-Kuwait-VIVA
epc.mnc055.mcc405.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc012.mcc502.3gppnetwork.org,6504#Maxis
epc.mnc271.mcc240.3gppnetwork.org,7068#Globetouch-Sweden
epc.mnc300.mcc310.3gppnetwork.org,7023#iSmart-Mobile
epc.mnc001.mcc452.3gppnetwork.org,12486#Mobifone-VMS)
epc.mnc051.mcc440.3gppnetwork.org,6118#KDDI
epc.mnc000.mcc460.3gppnetwork.org,6585#China-Mobile
epc.mnc000.mcc454.3gppnetwork.org,6357#HKT
epc.mnc008.mcc640.3gppnetwork.org,7386#SMART-Tanzania
epc.mnc040.mcc293.3gppnetwork.org,6773#SI-MOBIL
net2mobile.grx,6633#TIS-DSS-Peer
epc.mnc027.mcc250.3gppnetwork.org,7494#TMT-Russian
epc.mnc846.mcc405.3gppnetwork.org,7264#IDEA
epc.mnc020.mcc432.3gppnetwork.org,7357#Rightel
epc.mnc850.mcc405.3gppnetwork.org,7264#IDEA
epc.mnc530.mcc312.3gppnetwork.org,12565#Sprint-312530
epc.mnc006.mcc450.3gppnetwork.org,6188#LG-U-Plus
epc.mnc006.mcc456.3gppnetwork.org,6810#Smart-Axiata
epc.mnc003.mcc515.3gppnetwork.org,6192#SMART
diameter.dtag.grx,6856#DT-DSS-Peering
epc.mnc001.mcc246.3gppnetwork.org,6838#Omnitel
epc.mnc014.mcc242.3gppnetwork.org,7361#ICE-Communication-Norge
TelefonicaMX.com,6623#TM-Mexico
epc.mnc007.mcc404.3gppnetwork.org,7264#IDEA
epc.mnc008.mcc240.3gppnetwork.org,6959#Telenor-Sweden
epc.mnc007.mcc639.3gppnetwork.org,12622#Telkom-Kenya
epc.mnc005.mcc232.3gppnetwork.org,6951#Hutchison-3G-Austria-GmbH
epc.mnc013.mcc635.3gppnetwork.org,7456#TIGO-RWANDA-S-A
epc.mnc620.mcc312.3gppnetwork.org,7069#Globetouch-US
epc.mnc001.mcc240.3gppnetwork.org,6833#TeliaSonera-Sweden
epc.mnc007.mcc401.3gppnetwork.org,6311#Altel-Mobile-Kazakhstan
epc.mnc002.mcc297.3gppnetwork.org,7038#T-Mobile-Montenegro-
epc.mnc003.mcc730.3gppnetwork.org,6979#Claro-Chile
EPC.MNC023.MCC724.3GPPNETWORK.ORG,6363#Vivo
epc.mnc011.mcc404.3gppnetwork.org,7271#Vodafone-India-Essar
ukb.com,6542#UK-Broadband
epc.mnc018.mcc901.3gppnetwork.org,12514#AT&T-Mobility-Maritime
epc.mnc500.mcc302.3gppnetwork.org,7054#Videotron
eumvne.globetouch.com,7406#GlobeTouch-MVNE
epc.mnc001.mcc276.3gppnetwork.org,7029#AMC
epc.mnc003.mcc248.3gppnetwork.org,6971#Tele2-Estonia
epc.mnc020.mcc238.3gppnetwork.org,6834#TeliaSonera-Denmark
epc.mnc001.mcc740.3gppnetwork.org,7348#Conecel
dra.mnc004.mcc420.3gppnetwork.org,6618#Zain-Saudi-Arabia
epc.mnc003.mcc230.3gppnetwork.org,6801#Vodafone-Czech
epc.mnc003.mcc712.3gppnetwork.org,7312#Claro-CR-Telecom
epc.mnc019.mcc502.3gppnetwork.org,6502#Celcom
