ssid,customerid,name,country,realm_name,imsi_prefix,status,dra,connection,coveragestatus,productcomment,commercialstatus,owner,region,tagid,technicalcomment
7471,1750,Afghan Wireless Communication Company ,Afghanistan,epc.mnc001.mcc412.3gppnetwork.org,41201,hidden,,Indirect,Live,,,,EMEA,,
12579,1751,Etisalat Afghanistan,Afghanistan,epc.mnc050.mcc412.3gppnetwork.org,41250,hidden,,Indirect,,,,,EMEA,,
12743,1727,TDCA (Roshan) Afghanistan,Afghanistan,epc.mnc020.mcc412.3gppnetwork.org,41220,hidden,,Indirect,,,,,,,"We do not have this OPs defalut peering hub information now, so decide route, request filter and list cache are all not configured on DSC, it is only used for K2R route currently, if get their IPX provider info in the future, will bring it online completely by then.--------2018-07-17
"
7087,1403,Albtelecom,Albania,epc.mnc003.mcc276.3gppnetwork.org,27603,online,EU DSC,Direct,Live,,,Jason.Qin@syniverse.com,EMEA,,"*K2R route shall be opened by owner 
*AIR Destination realm:dra.ipx.syniverse.3gppnetwork.org
"
7029,1310,AMC,Albania,epc.mnc001.mcc276.3gppnetwork.org,27601,online,,Indirect,Live,,,,EMEA,,
6958,713,Vodafone Albania,Albania,epc.mnc002.mcc276.3gppnetwork.org,27602,online,,Indirect,Live,,,,EMEA,,
7435,712,Djezzy Algeria,Algeria,epc.mnc002.mcc603.3gppnetwork.org,60302,online,,Indirect,Live,,,,EMEA,,
7426,862,MOBILIS,Algeria,epc.mnc001.mcc603.3gppnetwork.org,60301,online,,Indirect,Live,,,,EMEA,,
7495,820,Wataniya Algeria,Algeria,epc.mnc003.mcc603.3gppnetwork.org,60303,online,,Indirect,Live,,,,EMEA,DZAWT,
12536,1884,Blue Sky Communications,American Samoa,,,,,Indirect,,,,,,,
7476,831,STA Andorra,Andorra,epc.mnc003.mcc213.3gppnetwork.org,21303,online,,Indirect,Live,,,,EMEA,ANDMA,
12511,2468,Movicel Angola,Angola,epc.mnc004.mcc631.3gppnetwork.org,63104,hidden,,Indirect,,,,,CALA,,
12733,1752,UNITEL S.a.r.l.,Angola,epc.mnc002.mcc631.3gppnetwork.org,63102,online,,Indirect,,,,,EMEA,,
7337,1653,Cable and Wireless Anguilla,Anguilla,epc.mnc840.mcc365.3gppnetwork.org,365840,group,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,Cable and wireless group member
6626,1911,Digicel Anguilla,Anguilla,epc.mnc050.mcc338.3gppnetwork.org,33850,,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,"Group operators by March2017 have  (27) Digicel markets of this twenty-seven (27), seven (7) are LTE  including:

Antigua  
Barbados 
BVI      
Cayman   
Jamaica  
TCI      
Anguilla 
"
7056,1654,Cable and Wireless Antigua,Antigua and Barbuda,epc.mnc920.mcc344.3gppnetwork.org,344920,group,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,Cable and wireless group member
7095,489,AMX Argentina S.A.(Claro),Argentina,epc.mnc310.mcc722.3gppnetwork.org,722310,online,,Indirect,Live,,,,CALA,,
7020,515,Telecom Personal SA,Argentina,epc.mnc034.mcc722.3gppnetwork.org,72234,hidden,,Indirect,Live,,,,CALA,,Migrate from TIS to comfone on 20070818
7044,842,Telefonica Argentina,Argentina,epc.mnc007.mcc722.3gppnetwork.org,72207,online,,Indirect,Live,,,,CALA,,
7313,1597,Armentel,Armenia,epc.mnc001.mcc283.3gppnetwork.org,28301,online,,Indirect,Live,,,,EMEA,,
6975,1268,K-Telecom,Armenia,epc.mnc005.mcc283.3gppnetwork.org,28305,online,A6AP,Indirect,Live,,,,EMEA,,
7437,1678,Orange Armenia,Armenia,epc.mnc010.mcc283.3gppnetwork.org,28310,online,,Indirect,,,,,,,
12555,1431,Digicel Aruba,Aruba,epc.mnc002.mcc363.3gppnetwork.org,36302,online,"Digicel Jamaica, NA DSC",Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,
7318,835,SETAR,Aruba,epc.mnc001.mcc363.3gppnetwork.org,36301,online,,Indirect,Live,,,,CALA,,
6085,2081,Optus,Australia,epc.mnc002.mcc505.3gppnetwork.org,50502,online,AP DSC,Direct,Live,,,Jason.Qin@syniverse.com,Asia Pacific,,
6219,478,Telstra,Australia,epc.mnc001.mcc505.3gppnetwork.org,50501,online,,Indirect,Live,,,,Asia Pacific,,The imsi range 5050156x are wholesale imsis. Wholesale currently does not have LTE roaming for Softbank- telstra DEA will reply with 3002
6609,2744,Telstra DSS Peer,Australia,,,,NA DSC,Peer,,,,,,,Updated on 17tg May: Telstra HUB should be connected with S9NA(NADSR) rather than BICS
6793,396,Vodafone Australia,Australia,epc.mnc003.mcc505.3gppnetwork.org,50503,online,,Indirect,Live,,,,Asia Pacific,,
6731,495,A1 Telekom Austria,Austria,epc.mnc001.mcc232.3gppnetwork.org,23201,online,,Indirect,Live,,,,Asia Pacific,,
12499,2710,BOB Austria,Austria,epc.mnc011.mcc232.3gppnetwork.org,23211,online,,Indirect,,,,,EMEA,,
6951,339,Hutchison 3G Austria GmbH,Austria,epc.mnc005.mcc232.3gppnetwork.org,"23205,23210",online,,Indirect,Live,,,,Asia Pacific,,
6954,382,T-Mobile Austria,Austria,"epc.mnc003.mcc232.3gppnetwork.org,epc.mnc007.mcc232.3gppnetwork.org","23203,23207",online,,Indirect,Live,,,,EMEA,,
6632,2753,TelecomAustria DSS Peer,Austria,,,,EU DSC,Peer,,,,wind.wang@syniverse.com,,,
12498,3109,Yesss Austria,Austria,epc.mnc012.mcc232.3gppnetwork.org,23212,online,,Indirect,,,,,EMEA,,
7465,606,Azercell,Azerbaijan,epc.mnc001.mcc400.3gppnetwork.org,"40001,40006",online,,Indirect,Live,,,,EMEA,,
7103,1506,Azerfon,Azerbaijan,epc.mnc004.mcc400.3gppnetwork.org,40004,online,,Indirect,Live,,,,EMEA,,
6948,1734,BAKCELL Ltd,Azerbaijan,epc.mnc002.mcc400.3gppnetwork.org,40002,online,,Indirect,Live,,,,EMEA,,
6895,1432,BTC Bahamas,Bahamas,epc.mnc039.mcc364.3gppnetwork.org,36439,online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,
7424,3081,NewCo2015 Bahamas,Bahamas,epc.mnc049.mcc364.3gppnetwork.org,36449,online,,Indirect,,,,,,,
7304,503,Batelco Bahrain,Bahrain,epc.mnc001.mcc426.3gppnetwork.org,42601,online,EU DSC,Direct,Live,,,Jason.Qin@syniverse.com,EMEA,,"Previously it was an indirect operator behind of TATA.

Now it is directly connected on S9EU DSC"
12658,1838,STC Bahrain,Bahrain,epc.mnc004.mcc426.3gppnetwork.org,42604,online,EU DSC,Direct,,,,tom.yu@syniverse.com,EMEA,,"2018/8/9 Currently the diameter links are up now, we are waiting the test from customer."
12496,502,Zain Bahrain,Bahrain,epc.mnc002.mcc426.3gppnetwork.org,42602,online,,Indirect,Live,,,,EMEA,,
12607,1026,Banglalink,Bangladesh,epc.mnc003.mcc470.3gppnetwork.org,47003,online,,Indirect,,,,,EMEA,,
12564,578,Grameen Phone,Bangladesh,epc.mnc001.mcc470.3gppnetwork.org,47001,online,,Indirect,,,,,Asia Pacific,,According to FT: Grameenphone Bangladesh does not support LTE on 2018/08/30
12553,861,Robi Axiata,Bangladesh,"epc.mnc002.mcc470.3gppnetwork.org,epc.mnc007.mcc470.3gppnetwork.org","47002,47007",online,,Indirect,,,,,Asia Pacific,,
7452,1655,Cable and Wireless Barbados,Barbados,epc.mnc600.mcc342.3gppnetwork.org,342600,group,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,Cable and wireless group member
7500,1511,Best Belarus,Belarus,epc.mnc004.mcc257.3gppnetwork.org,25704,hidden,,Indirect,,,,,EMEA,,"att requires to open route with TATA, not on line in DSC yet, we wish to use other peering hub as default peering

Best confirmed they only have Comfone as IPX provider, will use Comfone as default route."
7359,866,MTS Belarus,Belarus,epc.mnc002.mcc257.3gppnetwork.org,25702,hidden,,Indirect,Live,,,,EMEA,,no sales opportunity yet. (31st Aug 2016)
12604,801,Velcom Belarus,Belarus,epc.mnc001.mcc257.3gppnetwork.org,25701,online,,Indirect,,,,,,BLRMD,"April 2018 Velcom is not ready yet. Their actual plan is to be ready before summer.
"
6397,2218,BICS SMS peering,Belgium,,,peer,"EU DSC, NA DSC",Peer,,,,wind.wang@syniverse.com,,,
6695,321,Mobistar,Belgium,epc.mnc010.mcc206.3gppnetwork.org,20610,online,,Indirect,Live,,,,EMEA,,
6604,340,Proximus,Belgium,epc.mnc001.mcc206.3gppnetwork.org,20601,online,,Indirect,Live,,,,EMEA,,
12495,2263,Telenet Belgium,Belgium,epc.mnc005.mcc206.3gppnetwork.org,20605,online,,Indirect,,,,,EMEA,,
6857,356,Telenet Group bvba sprl(BASE),Belgium,epc.mnc020.mcc206.3gppnetwork.org,20620,online,,Indirect,Live,,,,EMEA,,All offline route of Telenet Group Base cut off on 2018 July30.Migration to iBasis fully done.
7403,966,Belize Telecom,Belize,epc.mnc067.mcc702.3gppnetwork.org,70267,hidden,,Indirect,,,,,CALA,,
7467,3077,Speednet,Belize,epc.mnc069.mcc702.3gppnetwork.org,70269,online,NA DSC,Direct,Live,,,,CALA,,
7334,1725,Digital Bermuda,Bermuda,epc.mnc000.mcc350.3gppnetwork.org,35000,online,"NA DSC, Commnet Wireless",Direct,Live,,,malyadri.palakeerthi@syniverse.com,CALA,,reach via CommNet connections 
12760,1732,B-Mobile Bhutan,Bhutan,epc.mnc011.mcc402.3gppnetwork.org,40211,hidden,,Indirect,,,,,Asia Pacific,,"We do not have this OPs defalut peering hub information now, so decide route, request filter and list cache are all not configured on DSC, it is only used for K2R route currently, if get their IPX provider info in the future, will bring it online completely by then.--------2018-08-08"
7469,1680,TashiCell,Bhutan,epc.mnc077.mcc402.3gppnetwork.org,40277,online,,Indirect,,,,,,,
12578,925,Entel,Bolivia,epc.mnc002.mcc736.3gppnetwork.org,73602,hidden,,Indirect,,,,,CALA,,
7118,1726,NUEVATEL Bolivia,Bolivia,epc.mnc001.mcc736.3gppnetwork.org,73601,online,,Indirect,Live,,,,CALA,,
7269,1681,Telecel Bolivia,Bolivia,epc.mnc003.mcc736.3gppnetwork.org,73603,online,NA DSC,Direct,Live,,,fabian.castillo@syniverse.com,CALA,,
12660,944,BH Telecom,Bosnia and Herzegovina,,,,,,,,,,,,
12754,1682,Mascom Botswana,Botswana,epc.mnc001.mcc652.3gppnetwork.org,65201,hidden,,Indirect,,,,,,,"We do not have this OPs defalut peering hub information now, so decide route, request filter and list cache are all not configured on DSC, it is only used for K2R route currently, if get their IPX provider info in the future, will bring it online completely by then.--------2018-07-23
"
7394,1313,Orange Botswana,Botswana,epc.mnc002.mcc652.3gppnetwork.org,65202,online,,Indirect,Live,,,,EMEA,,
6639,491,Claro Brazil,Brazil,epc.mnc005.mcc724.3gppnetwork.org,72405,online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,
7466,1961,Nextel Brazil,Brazil,,,,,,,,,,,,
6594,828,Oi Movel SA,Brazil,epc.mnc031.mcc724.3gppnetwork.org,72431,online,NA DSC,Direct,Live,,,Mario.herrera@syniverse.com,CALA,,"AP,EU has point to S9NA, A6NA has not migrate yet, hanlin will work with balram wo migrate route on A6NA"
6579,500,TIM Brazil,Brazil,"epc.mnc002.mcc724.3gppnetwork.org,epc.mnc003.mcc724.3gppnetwork.org,epc.mnc004.mcc724.3gppnetwork.org","72402,72403,72404",online,,Indirect,Live,,,,CALA,,
6363,917,Vivo,Brazil,"epc.mnc006.mcc724.3gppnetwork.org,epc.mnc010.mcc724.3gppnetwork.org,epc.mnc011.mcc724.3gppnetwork.org,epc.mnc023.mcc724.3gppnetwork.org","72406,72410,72411,72423",online,,Indirect,Live,,,Mario.herrera@syniverse.com,CALA,,"Will be migrate to TIWS behind S9NA in Aug 2017, before get the confirmation of migration ,all route point to A6NA"
6562,504,DataStream Technology,Brunei Darussalam,epc.mnc011.mcc528.3gppnetwork.org,52811,online,AP DSC,Direct,Live,,,greg.zhai@syniverse.com,Asia Pacific,,
7298,849,BTC Bulgaria,Bulgaria,epc.mnc003.mcc284.3gppnetwork.org,28403,online,,Indirect,Live,,,,EMEA,,"Also named as ""Vivacom Bulgaria"""
7340,510,Mobitel Bulgaria,Bulgaria,epc.mnc001.mcc284.3gppnetwork.org,28401,online,,Indirect,Live,,,,EMEA,,
7285,672,Telenor Bulgaria,Bulgaria,epc.mnc005.mcc284.3gppnetwork.org,28405,online,,Indirect,Live,,,,EMEA,,
7397,616,CamGSM,Cambodia,epc.mnc001.mcc456.3gppnetwork.org,45601,online,,Indirect,,,,,,,
6810,1494,Smart Axiata,Cambodia,"epc.mnc002.mcc456.3gppnetwork.org,epc.mnc006.mcc456.3gppnetwork.org","45602,45606",online,,Indirect,Live,,,,Asia Pacific,,
7119,2952,South East Asia Telecom,Cambodia,epc.mnc011.mcc456.3gppnetwork.org,45611,hidden,,Indirect,Pending,,,,Asia Pacific,,
7270,1510,Viettel Cambodia ,Cambodia,epc.mnc008.mcc456.3gppnetwork.org,45608,online,,Indirect,Live,,,,Asia Pacific,,"This operator is also named as ""Metfone"" -- noted by Hanlin"
7490,1347,MTN Cameroon,Cameroon,epc.mnc001.mcc624.3gppnetwork.org,62401,online,,Indirect,,,,,EMEA,,
7420,859,Orange Cameroon,Cameroon,epc.mnc002.mcc624.3gppnetwork.org,62402,online,,Indirect,Live,,,,EMEA,,
