DSC,adjacentSourcePeerName,adjacentSourceRealmName,appId,condition,consequence,description,destHost,destRealm,dscRuleGroup,id,priority,ruleType,srcHost,srcRealm
DAL,*,*,*,0,MIRROR_ENABLED := 1,Enable Message Mirroring,*,*,NA PoP,3,0,BACKWARD_CONFIGURE,*,*
DAL,*,*,*,0,RAW_MSG_TRACE_ENABLED := 1,Enable Raw Message Trace,*,*,NA PoP,25,1,BACKWARD_CONFIGURE,*,*
DAL,*,*,*,1,"RET := 3002; ERR := ""No Roaming Agreement""",Default rule barring messages between non-roaming partners,*,*,NA PoP,92,100,REQUEST_FILTER,*,*
DAL,*,*,16777251,1,"DEST_REALM:=""ams-a-frt-a"";ALTERNATE_REALM:=""failover""",Decide Route from * to GlobeTouch MVNE ssid 7406,*,eumvne.globetouch.com,NA PoP,3882,10,DECIDE_ROUTE,*,*
DAL,*,*,16777251,"Contains(AVP264, ""vzims.com"")","AVP264 := Replace(AVP264, ""vzims.com"", ""epc.mnc480.mcc311.3gppnetwork.org"")",Verizon Wireless 6538: %mediation% Vzw Original Host change towards *,*,*,NA PoP,3916,10,POST_FORWARD_TRANSLATE,*,epc.mnc480.mcc311.3gppnetwork.org
DAL,*,*,16777251,1,"DEST_REALM:=""hkg-a-sng-a"";ALTERNATE_REALM:=""failover""",Decide Route from * to KT Corporation ssid 6359,*,epc.mnc008.mcc450.3gppnetwork.org,NA PoP,3946,10,DECIDE_ROUTE,*,*
DAL,*,*,16777251,"(IsExist(#AVP1)&&(StartsWith(AVP1,""311270"")||StartsWith(AVP1,""311480"")))&&(IsExist(#AVP296)&&InList(ToLower(AVP296),""LIST_6538_VERIZON_WIRELESS""))&&(GetCmdCode()==316)&&(AVP1032==1000)",EXP_RET:=5421,Verizon Wireless 6538: %mediation% Vzw OB Control to * (UTRAN 1000 Block),*,dra.ipx.syniverse.3gppnetwork.org,NA PoP,3855,5,REQUEST_FILTER,*,*
DAL,*,*,16777251,"(IsExist(#AVP1)&&(StartsWith(AVP1,""311270"")||StartsWith(AVP1,""311480"")))&&(IsExist(#AVP296)&&InList(ToLower(AVP296),""LIST_6538_VERIZON_WIRELESS"")&&NotInList(ToLower(AVP296),""LIST_VERIZON_WIRELESS_BYPASS_WL_REALM""))&&(GetCmdCode()==316)&&IsExist(#AVP1)&&(IsPrefixInList(AVP1,""PREFIXLIST_VERIZON_WIRELESS_OB_WL_IMSI""))",RET:=0,Verizon Wireless 6538: %mediation% Vzw OB Control to * (Outbound IMSI Whitelist),*,dra.ipx.syniverse.3gppnetwork.org,NA PoP,3980,6,REQUEST_FILTER,*,*
DAL,*,*,16777251,"(IsExist(#AVP1)&&(StartsWith(AVP1,""311270"")||StartsWith(AVP1,""311480"")))&&(IsExist(#AVP296)&&InList(ToLower(AVP296),""LIST_6538_VERIZON_WIRELESS""))&&(GetCmdCode()==316)&&IsExist(#AVP1)&&(IsPrefixInList(AVP1,""PREFIXLIST_VERIZON_WIRELESS_OB_BL_IMSI""))",EXP_RET:=5420,Verizon Wireless 6538: %mediation% Vzw OB Control to * (Outbound IMSI Blacklist),*,dra.ipx.syniverse.3gppnetwork.org,NA PoP,3856,7,REQUEST_FILTER,*,*
DAL,*,*,16777251,"(IsExist(#AVP1)&&(StartsWith(AVP1,""311270"")||StartsWith(AVP1,""311480"")))&&(IsExist(#AVP296)&&InList(ToLower(AVP296),""LIST_VERIZON_WIRELESS_OB_LAUNCHED_REALM""))&&NotInList(ToLower(AVP296),""LIST_VERIZON_WIRELESS_BYPASS_WL_REALM"")&&(GetCmdCode()==316)&&IsExist(#AVP1401V10415.AVP1402V10415)&&(IsPrefixInList(#AVP1401V10415.AVP1402V10415,""PREFIXLIST_VERIZON_WIRELESS_OB_BL_IMEI""))",EXP_RET:=5420,Verizon Wireless 6538: %mediation% Vzw OB Control to * (Outbound IMEI Blacklist),*,dra.ipx.syniverse.3gppnetwork.org,NA PoP,3857,8,REQUEST_FILTER,*,*
DAL,*,*,16777251,"(IsExist(#AVP1)&&(StartsWith(AVP1,""311270"")||StartsWith(AVP1,""311480"")))&&IsExist(#AVP296)&&NotInList(ToLower(AVP296),""LIST_VERIZON_WIRELESS_OB_LAUNCHED_REALM"")",EXP_RET:=5420,Verizon Wireless 6538: %mediation% Vzw OB Control to * (5420 Block For Non Commercial Launched RPs),*,dra.ipx.syniverse.3gppnetwork.org,NA PoP,3858,9,REQUEST_FILTER,*,*
DAL,*,*,16777251,"(IsExist(#AVP1)&&(StartsWith(AVP1,""311270"")||StartsWith(AVP1,""311480"")))&&IsExist(#AVP296)&&InList(ToLower(AVP296),""LIST_VERIZON_WIRELESS_OB_LAUNCHED_REALM"")",RET:=0,Verizon Wireless 6538: %mediation% Vzw OB Control to *  (Subscriber Launched RPs),*,dra.ipx.syniverse.3gppnetwork.org,NA PoP,3860,10,REQUEST_FILTER,*,*
DAL,*,*,16777251,"Contains(AVP293, ""epc.mnc480.mcc311.3gppnetwork.org"")","AVP293 := Replace(AVP293, ""epc.mnc480.mcc311.3gppnetwork.org"", ""vzims.com"")",Verizon Wireless 6538: %mediation% Vzw Destination Host change from 480/311 to vzims.com,*,epc.mnc480.mcc311.3gppnetwork.org,NA PoP,3983,10,PRE_FORWARD_TRANSLATE,*,*
DAL,*,*,16777251,1,"DEST_REALM:=""epc.mnc480.mcc311.3gppnetwork.org"";ALTERNATE_REALM:=""failover""",Decide Route from * to Verizon Wireless ssid 6538,*,epc.mnc480.mcc311.3gppnetwork.org,NA PoP,3985,10,DECIDE_ROUTE,*,*
DAL,*,*,16777251,1,"DEST_REALM:=""epc.mnc480.mcc311.3gppnetwork.org"";ALTERNATE_REALM:=""failover""",Decide Route from * to Verizon Wireless ssid 6538,*,epc.mnc270.mcc311.3gppnetwork.org,NA PoP,3986,10,DECIDE_ROUTE,*,*
