DSC,adjacentSourcePeerName,adjacentSourceRealmName,appId,condition,consequence,description,destHost,destRealm,dscRuleGroup,id,priority,ruleType,srcHost,srcRealm
HKG,*,*,*,0,MIRROR_ENABLED := 1,Enable Message Mirroring,*,*,AP PoP,3,0,BACKWARD_CONFIGURE,*,*
HKG,*,*,*,0,RAW_MSG_TRACE_ENABLED := 1,Enable Raw Message Trace,*,*,AP PoP,25,1,BACKWARD_CONFIGURE,*,*
HKG,*,*,16777251,1,"DEST_REALM := ""syniverse.com""",Rogers-DEA1 through NA-Syniverse,*,epc.mnc720.mcc302.3gppnetwork.org,AP PoP,113,10,DECIDE_ROUTE,*,*
HKG,*,*,16777251,1,"DEST_REALM := ""syniverse.com""",Rogers-DEA2 through NA-Syniverse,*,epc.mnc370.mcc302.3gppnetwork.org,AP PoP,114,10,DECIDE_ROUTE,*,*
HKG,*,*,16777251,1,"DEST_REALM := ""dra.ipx.cmi.3gppnetwork.org""",CMCC-DEA1 through CMI,*,epc.mnc000.mcc460.3gppnetwork.org,AP PoP,115,10,DECIDE_ROUTE,*,*
HKG,*,*,16777251,1,"DEST_REALM := ""dra.ipx.cmi.3gppnetwork.org""",CMCC-DEA2 through CMI,*,epc.mnc002.mcc460.3gppnetwork.org,AP PoP,116,10,DECIDE_ROUTE,*,*
HKG,*,*,16777251,1,"DEST_REALM := ""dra.ipx.cmi.3gppnetwork.org""",CMCC-DEA3 through CMI,*,epc.mnc007.mcc460.3gppnetwork.org,AP PoP,117,10,DECIDE_ROUTE,*,*
HKG,*,*,16777251,1,RET := 0,White List for FET to Rogers-DEA1,*,epc.mnc720.mcc302.3gppnetwork.org,AP PoP,127,10,REQUEST_FILTER,*,epc.mnc001.mcc466.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for FET to Rogers-DEA2,*,epc.mnc370.mcc302.3gppnetwork.org,AP PoP,128,10,REQUEST_FILTER,*,epc.mnc001.mcc466.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Rogers-DEA1 to FET,*,epc.mnc001.mcc466.3gppnetwork.org,AP PoP,129,10,REQUEST_FILTER,*,epc.mnc720.mcc302.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for Rogers-DEA2 to FET,*,epc.mnc001.mcc466.3gppnetwork.org,AP PoP,130,10,REQUEST_FILTER,*,epc.mnc370.mcc302.3gppnetwork.org
HKG,*,*,16777251,1,RET := 0,White List for CMCC-DEA1 to Rogers-DEA1,*,epc.mnc720.mcc302.3gppnetwork.org,AP PoP,131,10,REQUEST_FILTER,*,epc.mnc000.mcc460.3gppnetwork.org
