DSC,adjacentSourcePeerName,adjacentSourceRealmName,appId,condition,consequence,description,destHost,destRealm,dscRuleGroup,id,priority,ruleType,srcHost,srcRealm
LAB,*,*,16777251,TEST,TEST,%DECIDE_ROUTE%_from__any__to__SSID_,*,0,LAB PoP,4988,10,DECIDE_ROUTE,*,0
LAB,*,*,16777251,TEST&&TEST,TEST,%DECIDE_ROUTE%_from__any__to_0_SSID_,*,0,LAB PoP,4990,9,DECIDE_ROUTE,*,*
LAB,adjacentsourcerealmname,adjacentsourcerealmname,16777251,condition,consequence,description,desthost,destrealm,LAB PoP,4997,10,DECIDE_ROUTE,srchost,srcrealm
LAB,*,*,16777251,0,MIRROR_ENABLED := 1,Enable_Message_Mirroring,*,*,LAB PoP,5009,0,BACKWARD_CONFIGURE,*,*
LAB,adjpeer,adjrealm,16777251,cond,cons,desc,desthost1,destrealm,LAB PoP,5016,10,DECIDE_ROUTE,srchost,srcrealm
LAB,source peer,source realm,16777251,CONDITION,CONSEQUENCE,DESCRIPTION,desthost,destrealm,LAB PoP,5025,10,DECIDE_ROUTE,orighost,origrealm
LAB,*,*,16777251,"(((GetCmdCode()==316)&&IsExist(#AVP1))&&InList(AVP1,""LIST_NTT_IMSI_DEL_AVP1493""))",DelAvp(#AVP1493),remove_AVP1493_for_ULA_to_KDDI_from_China_Mobile,*,epc.mnc050.mcc440.3gppnetwork.org,LAB PoP,4948,10,DECIDE_ROUTE,*,epc.mnc000.mcc460.3gppnetwork.orgsss
LAB,*,*,16777251,((GetCmdCode()==316)||(GetCmdCode()==318)||(GetCmdCode()==321)||(GetCmdCode()==323)),EXP_RET:=5421,BLOCK_OB_TRAFFIC%Vodafone_Qatar_Q_S_C__6761%_from_Afghan_Wireless_Communication_Company_7471%_to_Vodafone_Qatar_Q_S_C__6761%_Reject_with_5421,*,epc.mnc002.mcc427.3gppnetwork.org,LAB PoP,5019,10,REQUEST_FILTER,*,epc.mnc001.mcc412.3gppnetwork.orgsss
LAB,*,*,16777251,"(((GetCmdCode()==316)&&IsExist(#AVP1))&&InList(AVP1,""LIST_NTT_IMSI_DEL_AVP1493""))",DelAvp(#AVP1493),remove_AVP1493_for_ULA_to_KDDI_from_China_Mobile,*,epc.mnc051.mcc440.3gppnetwork.org,LAB PoP,5051,10,DECIDE_ROUTE,*,epc.mnc000.mcc460.3gppnetwork.orgssssssssss
LAB,*,*,16777251,"(((GetCmdCode()==316)&&IsExist(#AVP1))&&InList(AVP1,""LIST_NTT_IMSI_DEL_AVP1493""))",DelAvp(#AVP1493),remove_AVP1493_for_ULA_to_KDDI_from_China_Mobile,*,epc.mnc051.mcc440.3gppnetwork.org,LAB PoP,4950,10,DECIDE_ROUTE,*,epc.mnc000.mcc460.3gppnetwork.org
LAB,*,*,16777251,"(((GetCmdCode()==316)&&IsExist(#AVP1))&&InList(AVP1,""LIST_NTT_IMSI_DEL_AVP1493""))",DelAvp(#AVP1493),remove_AVP1493_for_ULA_to_KDDI_from_China_Mobile,*,epc.mnc050.mcc440.3gppnetwork.org,LAB PoP,4960,10,DECIDE_ROUTE,*,epc.mnc002.mcc460.3gppnetwork.org
LAB,*,*,16777251,"(((GetCmdCode()==316)&&IsExist(#AVP1))&&InList(AVP1,""LIST_NTT_IMSI_DEL_AVP1493""))",DelAvp(#AVP1493),remove_AVP1493_for_ULA_to_KDDI_from_China_Mobile,*,epc.mnc051.mcc440.3gppnetwork.org,LAB PoP,4968,10,DECIDE_ROUTE,*,epc.mnc002.mcc460.3gppnetwork.org
LAB,*,*,16777251,"(((GetCmdCode()==316)&&IsExist(#AVP1))&&InList(AVP1,""LIST_NTT_IMSI_DEL_AVP1493""))",DelAvp(#AVP1493),remove_AVP1493_for_ULA_to_KDDI_from_China_Mobile,*,epc.mnc050.mcc440.3gppnetwork.org,LAB PoP,4984,10,DECIDE_ROUTE,*,epc.mnc007.mcc460.3gppnetwork.org
LAB,*,*,16777251,"(((GetCmdCode()==316)&&IsExist(#AVP1))&&InList(AVP1,""LIST_NTT_IMSI_DEL_AVP1493""))",DelAvp(#AVP1493),remove_AVP1493_for_ULA_to_KDDI_from_China_Mobile,*,epc.mnc051.mcc440.3gppnetwork.org,LAB PoP,4986,10,DECIDE_ROUTE,*,epc.mnc007.mcc460.3gppnetwork.org
LAB,*,*,16777251,((GetCmdCode()==316)||(GetCmdCode()==318)||(GetCmdCode()==321)||(GetCmdCode()==323)),EXP_RET:=5421,BLOCK_OB_TRAFFIC%Vodafone_Qatar_Q_S_C__6761%_from_China_Mobile_6585%_to_Vodafone_Qatar_Q_S_C__6761%_Reject_with_5421,*,epc.mnc002.mcc427.3gppnetwork.org1,LAB PoP,5023,10,REQUEST_FILTER,*,epc.mnc002.mcc460.3gppnetwork.org
LAB,*,*,16777251,((GetCmdCode()==316)||(GetCmdCode()==318)||(GetCmdCode()==321)||(GetCmdCode()==323)),EXP_RET:=5421,BLOCK_OB_TRAFFIC%Vodafone_Qatar_Q_S_C__6761%_from_China_Mobile_6585%_to_Vodafone_Qatar_Q_S_C__6761%_Reject_with_5421,*,epc.mnc002.mcc427.3gppnetwork.org1,LAB PoP,5021,10,REQUEST_FILTER,*,epc.mnc000.mcc460.3gppnetwork.org
LAB,*,*,16777251,TEST,test,test,*,*,LAB PoP,5070,10,FIREWALL_FILTER,*,*
