DSC,adjacentSourcePeerName,adjacentSourceRealmName,appId,condition,consequence,description,destHost,destRealm,dscRuleGroup,id,priority,ruleType,srcHost,srcRealm,Filter Name
LAB,*,*,16777251,"!(IsFirstAVPSessionId()) && (RESULT := PrefixMap(AVP283, ""MAP_FIRST_AVP_SESSIONID"")) != ""NaN"" &&(LOG_FIREWALL_TDR := GetJSONValue(""WILL_LOG"", RESULT)) != ""Dummy"" && (RESULT_CODE := GetJSONValue(""RESULT_CODE"", RESULT)) != ""Dummy"" && RESULT_CODE != ""0""",RET := RESULT_CODE,Deny_incoming_messages_if_the_first_AVP_is_not_Session-ID,*,*,LAB PoP,,10,FIREWALL_FILTER,*,*,Deny incoming messages if the first AVP is not Session-ID
LAB,*,*,16777251,"IsExist(#AVP296[1]) && (RESULT := PrefixMap(AVP283, ""MAP_FIREWALL_MAP_SINGLE_AVP296"")) != ""NaN"" && (LOG_FIREWALL_TDR := GetJSONValue(""WILL_LOG"", RESULT)) != ""Dummy"" && (RESULT_CODE := GetJSONValue(""RESULT_CODE"", RESULT)) != ""Dummy"" && RESULT_CODE != ""0""",RET := RESULT_CODE,Single_occurrence_of_Origin-Realm_validation_of_incoming_messages,*,*,LAB PoP,,20,FIREWALL_FILTER,*,*,Single occurrence of Origin-Realm validation of incoming messages
LAB,*,*,16777251,"IsExist(#AVP264[1]) && (RESULT := PrefixMap(AVP283, ""MAP_FIREWALL_MAP_SINGLE_AVP264"")) != ""NaN"" && (LOG_FIREWALL_TDR := GetJSONValue(""WILL_LOG"", RESULT)) != ""Dummy"" && (RESULT_CODE := GetJSONValue(""RESULT_CODE"", RESULT)) != ""Dummy""  && RESULT_CODE != ""0""",RET := RESULT_CODE,Single_occurrence_of_Origin-Host_validation_of_incoming_messages,*,*,LAB PoP,,30,FIREWALL_FILTER,*,*,Single occurrence of Origin-Host validation of incoming messages
LAB,*,*,16777251,"IsExist(#AVP283[1]) && (RESULT := PrefixMap(AVP283, ""MAP_FIREWALL_MAP_SINGLE_AVP283"")) != ""NaN"" && (LOG_FIREWALL_TDR := GetJSONValue(""WILL_LOG"", RESULT)) != ""Dummy"" && (RESULT_CODE := GetJSONValue(""RESULT_CODE"", RESULT)) != ""Dummy""  && RESULT_CODE != ""0"" ",RET := RESULT_CODE,Single_occurrence_of_Destination-Realm_validation_of_incoming_messages,*,*,LAB PoP,,40,FIREWALL_FILTER,*,*,Single occurrence of Destination-Realm validation of incoming messages
LAB,*,*,16777251,"IsExist(#AVP260[1]) && (RESULT := PrefixMap(AVP283, ""MAP_FIREWALL_MAP_SINGLE_AVP260"")) != ""NaN"" && (LOG_FIREWALL_TDR := GetJSONValue(""WILL_LOG"", RESULT)) != ""Dummy"" && (RESULT_CODE := GetJSONValue(""RESULT_CODE"", RESULT)) != ""Dummy""   && RESULT_CODE != ""0""",RET := RESULT_CODE,Single_occurrence_of_Vendor-specific-application-id_validation_of_incoming_messages,*,*,LAB PoP,,50,FIREWALL_FILTER,*,*,Single occurrence of Vendor-specific-application-id validation of incoming messages
LAB,*,*,16777251,"IsExist(#AVP1407V10415[1]) && (RESULT := PrefixMap(AVP283, ""MAP_FIREWALL_MAP_SINGLE_AVP1407"")) != ""NaN"" && (LOG_FIREWALL_TDR := GetJSONValue(""WILL_LOG"", RESULT)) != ""Dummy"" && (RESULT_CODE := GetJSONValue(""RESULT_CODE"", RESULT)) != ""Dummy"" && RESULT_CODE != ""0""",RET := RESULT_CODE,Single_occurrence_of_Visited-PLMN-id_validation_of_incoming_messages,*,*,LAB PoP,,60,FIREWALL_FILTER,*,*,Single occurrence of Visited-PLMN-id validation of incoming messages
LAB,*,*,16777251,"NotInList2D(NumberToString(GetHeaderAppId()),NumberToString(GetCmdCode()), ""DUALEXACTLIST_CMD_CODE"") && (RESULT := PrefixMap(AVP283, ""MAP_FIREWALL_MAP_CMD_CODE"")) != ""NaN"" && (RESULT_CODE := GetJSONValue (""RESULT_CODE"", RESULT)) != ""Dummy"" && (LOG_FIREWALL_TDR := GetJSONValue (""WILL_LOG"", RESULT)) != ""Dummy"" && RESULT_CODE != ""0""",RET := RESULT_CODE,Command-Code_and_Application_ID_validation_of_incoming_messages,*,*,LAB PoP,,70,FIREWALL_FILTER,*,*,Command-Code and Application ID validation of incoming messages
LAB,*,*,16777251,"(RESULT := PrefixMap(SOURCE_REALM, ""MAP_FIREWALL_SRC_ORIGIN_REALM"")) != ""NaN"" && NotInList2D(SOURCE_REALM, AVP296, ""DUALPREFIXLIST_SRC_ORIGIN_REALM_WL"")&& (RESULT_CODE := GetJSONValue(""RESULT_CODE"", RESULT)) != ""Dummy"" && (LOG_FIREWALL_TDR := GetJSONValue(""WILL_LOG"", RESULT)) != ""Dummy"" && RESULT_CODE != ""0""",RET := RESULT_CODE,Origin-Realm_validation_of_outgoing_messages,*,*,LAB PoP,,80,FIREWALL_FILTER,*,*,Origin-Realm validation of outgoing messages
LAB,*,*,16777251,"(GetCmdCode() == 317 || GetCmdCode() == 319 || GetCmdCode() == 320 || GetCmdCode() == 322) && (RESULT := (TwoDMap(AVP283, AVP1, ""DUALPREFIXMAP_FIREWALL_MAP_INBOUND_HOME_IMSI_BL""))) != ""NaN"" && (LOG_FIREWALL_TDR := GetJSONValue(""WILL_LOG"", RESULT)) != ""Dummy"" && (RESULT_CODE := GetJSONValue(""RESULT_CODE"", RESULT)) != ""Dummy"" && RESULT_CODE != ""0""",RET := RESULT_CODE,Inbound_Roamer_HOME_IMSI_Blacklist_filter,*,*,LAB PoP,,90,FIREWALL_FILTER,*,*,Inbound Roamer HOME IMSI Blacklist filter
LAB,*,*,16777251,"(GetCmdCode() == 317 || GetCmdCode() == 319 || GetCmdCode() == 320 || GetCmdCode() == 322) && (RESULT := PrefixMap(AVP296, ""MAP_FIREWALL_OUTBOUND_HOME_IMSI"")) != ""NaN"" && NotInList2D(AVP296, AVP1, ""DUALPREFIXLIST_OUTBOUND_HOME_IMSI_WL"")&& (RESULT_CODE := GetJSONValue(""RESULT_CODE"", RESULT)) != ""Dummy"" && (LOG_FIREWALL_TDR := GetJSONValue(""WILL_LOG"", RESULT)) != ""Dummy"" && RESULT_CODE != ""0""",RET := RESULT_CODE,Deny_outgoing_request_messages_from_customer's_HSS_sending_to_MME_if_IMSI_prefix_of_the_message_does_not_belong_to_customer,*,*,LAB PoP,,100,FIREWALL_FILTER,*,*,Deny outgoing request messages from customer's HSS sending to MME if IMSI prefix of the message does not belong to customer
