display_name,name,realm,remote_ip,remote_pip,attempt_connect,maxActive,disabled,peer_test_mode,peer_mtu,local_port_range_1,local_port_range_2,local_port_range_3,local_port_range_4,local_port_range_5,local_port_range_6,local_port_range_7,local_port_range_8,MaxInboundStreams,MaxOutboundStreams
HSS-EastLink,aaa://wadl-hss01.mobi.eastlink.ca:3868;transport=sctp,mobi.eastlink.ca,"71.7.198.84,71.7.198.85","10.232.1.103,10.232.1.104",true,1,false,false,1500,17119,,,,,,,,1,1
AlbTelecom_HSS,aaa://hss.albtelecom.com:3868;transport=sctp,albtelecom.com,"217.24.242.180,217.24.242.188",,false,1,false,false,1500,,,,,,,,,,
Globetouch-HUB-DEA1,aaa://drabr1.eucsim.globetouch.com;transport=sctp,eucsim.globetouch.com,"193.240.185.86,193.240.185.102",,false,1,false,true,1500,,,,,,,,,,
Globetouch-HUB-DEA2,aaa://drabr2.eucsim.globetouch.com;transport=sctp,eucsim.globetouch.com,"193.240.185.87,193.240.185.103",,false,1,false,true,1500,,,,,,,,,,
Globetouch-HUB-DEA3,aaa://draln1.eucsim.globetouch.com;transport=sctp,eucsim.globetouch.com,"185.81.136.167,185.81.136.183",,false,1,false,true,1500,,,,,,,,,,
Globetouch-HUB-DEA4,aaa://draln2.eucsim.globetouch.com;transport=sctp,eucsim.globetouch.com,"185.81.136.168,185.81.136.184",,false,1,false,true,1500,,,,,,,,,,
Syn-Chicago-DRA,aaa://dp01-chi.syniverse.com:3868;transport=sctp,syniverse.com,"205.174.191.6,205.174.191.22",,false,1,false,false,1500,,,,,,,,,,
Syn-Dallas-DRA,aaa://dp01-dal.syniverse.com:3868;transport=sctp,syniverse.com,"205.174.191.38,205.174.191.54",,true,1,false,false,1500,17011,,,,,,,,8,8
dsc-nl-ams-eq01,aaa://dsc-nl-ams-eq01:3868;transport=sctp,ipx.bt.com,"147.152.56.10,147.152.56.14",,true,1,false,true,1500,17145,,,,,,,,1,1
DTAG-FFM01-DRA,aaa://sdc-ffm01.diameter.dtag.grx:3868;transport=sctp,diameter.dtag.grx,"81.28.79.65,81.28.79.89",,false,1,false,false,1500,,,,,,,,,,
DTAG-FFM21-DRA,aaa://sdc-ffm21.diameter.dtag.grx:3868;transport=sctp,diameter.dtag.grx,"81.28.79.81,81.28.79.73",,false,1,false,false,1500,,,,,,,,,,
ibasis-draams101-dea,aaa://draams101.ibasis.grx;transport=sctp,ibasis.grx,"62.93.153.4,62.93.153.36",,false,1,false,false,1500,,,,,,,,,,
ibasis-draams102-dea,aaa://draams102.ibasis.grx;transport=sctp,ibasis.grx,"62.93.153.5,62.93.153.37",,false,1,false,false,1500,,,,,,,,,,
tis-dra01-dea,aaa://dra01.net2mobile.grx;transport=sctp,net2mobile.grx,"93.186.140.134,93.186.140.150",,false,1,false,false,1500,,,,,,,,,,
tis-dra02-dea,aaa://dra02.net2mobile.grx;transport=sctp,net2mobile.grx,"93.186.140.198,93.186.140.214",,false,1,false,false,1500,,,,,,,,,,
vh-osl1dra1-dea,aaa://dtosl1dra1.telenor.grx:3868;transport=sctp,telenor.grx,"213.230.171.36,213.230.171.164",,true,1,false,false,1500,17109,,,,,,,,8,8
vh-osl2dra1-dea,aaa://dtosl2dra1.telenor.grx:3868;transport=sctp,telenor.grx,"213.230.171.52,213.230.171.180",,true,1,false,false,1500,17110,,,,,,,,8,8
osl1dra1-dea,aaa://osl1dra1.telenor.grx:3868;transport=sctp,telenor.grx,"213.230.171.37,213.230.171.165",,false,1,false,false,1500,,,,,,,,,,
osl2dra1-dea,aaa://osl2dra1.telenor.grx:3868;transport=sctp,telenor.grx,"213.230.171.53,213.230.171.181",,false,1,false,false,1500,,,,,,,,,,
Vodafone-drs11-dea,aaa://drs11.vodafone.grx:3868;transport=sctp,vodafone.grx,"47.73.161.36,47.73.161.4",,true,1,false,false,1500,17113,,,,,,,,2048,10
Vodafone-drs12-dea,aaa://drs12.vodafone.grx:3868;transport=sctp,vodafone.grx,"47.73.161.100,47.73.161.68",,true,1,false,false,1500,17114,,,,,,,,2048,10
Vodafone-drs21-dea,aaa://drs21.vodafone.grx:3868;transport=sctp,vodafone.grx,"47.73.169.36,47.73.169.4",,true,1,false,false,1500,17115,,,,,,,,2048,10
Vodafone-drs22-dea,aaa://drs22.vodafone.grx:3868;transport=sctp,vodafone.grx,"47.73.169.196,47.73.169.164",,true,1,false,false,1500,17116,,,,,,,,2048,10
sybase-dra1,aaa://dra01.sybase.ipx;transport=sctp,sybase.ipx,178.248.225.129,,false,1,false,false,1500,,,,,,,,,,
sybase-dra2,aaa://dra02.sybase.ipx;transport=sctp,sybase.ipx,178.248.225.130,,false,1,false,false,1500,,,,,,,,,,
FT-MP1Paris-DEA,aaa://mp1.dsrparis.dea.orange-multimedia.net:3868;transport=sctp,dea.orange-multimedia.net,"193.249.224.129,193.249.224.145",,false,1,false,false,1500,,,,,,,,,,
FT-MP2Paris-DEA,aaa://mp2.dsrparis.dea.orange-multimedia.net:3868;transport=sctp,dea.orange-multimedia.net,"193.249.224.130,193.249.224.146",,false,1,false,false,1500,,,,,,,,,,
FT-MP1Reims-DEA,aaa://mp1.dsrreims.dea.orange-multimedia.net:3868;transport=sctp,dea.orange-multimedia.net,"193.249.224.161,193.249.224.177",,false,1,false,false,1500,,,,,,,,,,
FT-MP2Reims-DEA,aaa://mp2.dsrreims.dea.orange-multimedia.net:3868;transport=sctp,dea.orange-multimedia.net,"193.249.224.162,193.249.224.178",,false,1,false,false,1500,,,,,,,,,,
BICS-BRU11-DRA01-DRA,aaa://dra01b11.dra.bics.3gppnetwork.org:3868;transport=sctp,dra.bics.3gppnetwork.org,"94.102.167.135,94.102.167.151",,false,1,false,false,1500,,,,,,,,,,
BICS-BRU22-DRA01-DRA,aaa://dra01b22.dra.bics.3gppnetwork.org:3868;transport=sctp,dra.bics.3gppnetwork.org,"94.102.167.167,94.102.167.183",,false,1,false,false,1500,,,,,,,,,,
Etisalat-UAE-DEA1,aaa://drx1.ipx.etisalat.3gppnetwork.org:3868;transport=sctp,ipx.etisalat.3gppnetwork.org,"31.219.178.14,31.219.178.46",,true,1,false,false,1500,17129,,,,,,,,8,8
Etisalat-UAE-DEA2,aaa://drx2.ipx.etisalat.3gppnetwork.org:3868;transport=sctp,ipx.etisalat.3gppnetwork.org,"31.219.178.78,31.219.178.110",,true,1,false,false,1500,17130,,,,,,,,8,8
Sunrise-alts01sps01,aaa://alts01sps01.epc.mnc002.mcc228.3gppnetwork.org:3868;transport=sctp,epc.mnc002.mcc228.3gppnetwork.org,194.230.149.1,,false,1,false,false,1500,,,,,,,,,,
Sunrise-walb01sps01,aaa://walb01sps01.epc.mnc002.mcc228.3gppnetwork.org:3868;transport=sctp,epc.mnc002.mcc228.3gppnetwork.org,194.230.149.129,,false,1,false,false,1500,,,,,,,,,,
O2UK-DSC01-DEA,aaa://dsc01.epc.mnc010.mcc234.3gppnetwork.org;transport=sctp,epc.mnc010.mcc234.3gppnetwork.org,"158.230.120.134,158.230.122.134",,false,1,false,true,1500,,,,,,,,,,
O2UK-DSC02-DEA,aaa://dsc02.epc.mnc010.mcc234.3gppnetwork.org;transport=sctp,epc.mnc010.mcc234.3gppnetwork.org,"158.230.120.38,158.230.122.38",,false,1,false,true,1500,,,,,,,,,,
O2UK-lab-DSC98-DEA,aaa://dsc98.epc.mnc010.mcc234.3gppnetwork.org;transport=sctp,epc.mnc010.mcc234.3gppnetwork.org,"158.230.108.6,158.230.108.134",,false,1,false,true,1500,,,,,,,,,,
O2UK-lab-DSC99-DEA,aaa://dsc99.epc.mnc010.mcc234.3gppnetwork.org;transport=sctp,epc.mnc010.mcc234.3gppnetwork.org,"158.230.108.22,158.230.108.150",,false,1,false,true,1500,,,,,,,,,,
Truphone-pea-DEA,aaa://peamssdc.epc.mnc025.mcc234.3gppnetwork.org:3868;transport=sctp,epc.mnc025.mcc234.3gppnetwork.org,"194.88.243.226,194.88.243.227",,true,1,false,true,1500,17112,,,,,,,,1,1
