display_name,name,realm,remote_ip,remote_pip,attempt_connect,maxActive,disabled,peer_test_mode,peer_mtu,local_port_range_1,local_port_range_2,local_port_range_3,local_port_range_4,local_port_range_5,local_port_range_6,local_port_range_7,local_port_range_8,MaxInboundStreams,MaxOutboundStreams
comfone-dranl01,aaa://dranl01.comfone.com;transport=sctp,comfone.com,"194.150.198.164,194.150.198.165",,false,1,false,true,1500,,,,,,,,,,
comfone-draus01,aaa://draus01.comfone.com;transport=sctp,comfone.com,"194.150.199.164,194.150.199.165",,false,1,false,true,1500,,,,,,,,,,
Speednet-DRA1,aaa://dra.smart.com;transport=sctp,epc.mnc069.mcc702.3gppnetwork.org,186.65.89.101,0,false,1,false,true,1200,,,,,,,,,,
Syn-Chicago-DSR,aaa://dp01-chi.syniverse.com;transport=sctp,syniverse.com,"205.174.191.6,205.174.191.22",,false,10,false,false,1500,,,,,,,,,8,8
Syn-Dallas-DSR,aaa://dp01-dal.syniverse.com:3868;transport=sctp,syniverse.com,"205.174.191.38,205.174.191.54",,true,10,false,false,1500,17000,17001,17002,17003,17004,17005,17006,17007,8,8
chidra02.tnsi.com,aaa://chidra02.tnsi.com;transport=sctp,tnsi.com,"204.28.231.198,204.28.231.206",0,false,1,false,true,1500,,,,,,,,,,
dtxdra02.tnsi.com,aaa://dtxdra02.tnsi.com;transport=sctp,tnsi.com,"204.28.231.174,204.28.231.182",0,false,1,false,true,1500,,,,,,,,,,
mrdea201.videotron.com,aaa://mrdea201.videotron.com;transport=sctp,videotron.com,"66.130.63.208,66.130.63.209",0,false,1,false,true,1500,,,,,,,,,,
qydea201.videotron.com,aaa://qydea201.videotron.com;transport=sctp,videotron.com,"66.130.63.210,66.130.63.211",0,false,1,false,true,1500,,,,,,,,,,
VzW-Cocsr-DEA1,aaa://cocsrdra_n01.vzims.com:3868;transport=sctp,epc.mnc480.mcc311.3gppnetwork.org,69.78.235.4,,true,1,false,false,1500,17100,,,,,,,,8,8
VzW-Cocsr-DEA2,aaa://cocsrdra_n02.vzims.com:3869;transport=sctp,epc.mnc480.mcc311.3gppnetwork.org,69.78.235.4,,true,1,false,false,1500,17102,,,,,,,,8,8
VzW-Ohcir-DEA1,aaa://ohcirdra_n01.vzims.com:3868;transport=sctp,epc.mnc480.mcc311.3gppnetwork.org,69.78.34.4,,true,1,false,false,1500,17101,,,,,,,,8,8
VzW-Ohcir-DEA2,aaa://ohcirdra_n02.vzims.com:3869;transport=sctp,epc.mnc480.mcc311.3gppnetwork.org,69.78.34.4,,true,1,false,false,1500,17103,,,,,,,,8,8
deutsche-telekom-sdc-fm01,aaa://sdc-ffm01.diameter.dtag.grx;transport=sctp,diameter.dtag.grx,"81.28.79.65,81.28.79.89",,false,1,false,false,1500,,,,,,,,,,
deutsche-telekom-sdc-fm21,aaa://sdc-ffm21.diameter.dtag.grx;transport=sctp,diameter.dtag.grx,"81.28.79.81,81.28.79.73",0,false,1,false,false,1500,,,,,,,,,,
iBasis-dramia101-dea,aaa://dramia101.ibasis.grx;transport=sctp,ibasis.grx,"62.93.135.4,62.93.135.36",0,false,1,false,false,1500,3868,,,,,,,,,
iBasis-dramia102-dea,aaa://dramia102.ibasis.grx;transport=sctp,ibasis.grx,"62.93.135.5,62.93.135.37",0,false,1,false,false,1500,3868,,,,,,,,,
iBasis-dranyc101-dea,aaa://dranyc101.ibasis.grx;transport=sctp,ibasis.grx,"216.168.181.6,216.168.181.38",0,false,1,false,false,1500,3868,,,,,,,,,
iBasis-dranyc102-dea,aaa://dranyc102.ibasis.grx;transport=sctp,ibasis.grx,"216.168.181.7,216.168.181.39",0,false,1,false,false,1500,3868,,,,,,,,,
msk18.dra1.mtt.grx,aaa://msk18.dra1.mtt.grx;transport=sctp,dra1.mtt.grx,"80.75.132.18,80.75.133.18",,false,1,false,true,1500,,,,,,,,,,
msk18.dra18.mtt.grx,aaa://msk18.dra18.mtt.grx;transport=sctp,dra18.mtt.grx,"80.75.130.18,80.75.131.18",,false,1,false,true,1500,,,,,,,,,,
tis-dra01-dea,aaa://dra01.net2mobile.grx;transport=sctp,net2mobile.grx,"93.186.140.134,93.186.140.150",0,false,1,false,true,1500,3868,,,,,,,,,
tis-dra02-dea,aaa://dra02.net2mobile.grx;transport=sctp,net2mobile.grx,"93.186.140.198,93.186.140.214",0,false,1,false,true,1500,3868,,,,,,,,,
vh-osl1dra1-dea,aaa://osl1dra1.telenor.grx:3868;transport=sctp,telenor.grx,"213.230.171.36,213.230.171.164",,true,1,false,false,1500,17110,,,,,,,,8,8
vh-osl2dra1-dea,aaa://osl2dra1.telenor.grx:3868;transport=sctp,telenor.grx,"213.230.171.52,213.230.171.180",,true,1,false,false,1500,17111,,,,,,,,8,8
tiws_dra_br,aaa://drabr01.tgsolutions.grx;transport=sctp,tgsolutions.grx,"216.184.105.67,216.184.105.83",,false,1,false,false,1500,,,,,,,,,,
tiws_dra_mia,aaa://dramia01.tgsolutions.grx;transport=sctp,tgsolutions.grx,"216.184.105.3,216.184.105.19",,false,1,false,false,1500,,,,,,,,,,
FT-MP1Paris-DEA,aaa://mp1.dsrparis.dea.orange-multimedia.net;transport=sctp,dea.orange-multimedia.net,"193.249.224.129,193.249.224.145",,false,1,false,true,1500,,,,,,,,,,
FT-MP2Paris-DEA,aaa://mp2.dsrparis.dea.orange-multimedia.net;transport=sctp,dea.orange-multimedia.net,"193.249.224.130,193.249.224.146",,false,1,false,true,1500,,,,,,,,,,
FT-MP1Reims-DEA,aaa://mp1.dsrreims.dea.orange-multimedia.net;transport=sctp,dea.orange-multimedia.net,"193.249.224.161,193.249.224.177",,false,1,false,true,1500,,,,,,,,,,
FT-MP2Reims-DEA,aaa://mp2.dsrreims.dea.orange-multimedia.net;transport=sctp,dea.orange-multimedia.net,"193.249.224.162,193.249.224.178",,false,1,false,true,1500,,,,,,,,,,
BICS-BRU11-DRA01-DRA,aaa://dra01b11.dra.bics.3gppnetwork.org;transport=sctp,dra.bics.3gppnetwork.org,"94.102.167.135,94.102.167.151",,false,1,false,false,1500,,,,,,,,,,
BICS-BRU22-DRA01-DRA,aaa://dra01b22.dra.bics.3gppnetwork.org;transport=sctp,dra.bics.3gppnetwork.org,"94.102.167.167,94.102.167.183",,false,1,false,false,1500,,,,,,,,,,
CMI-Riley-DRA,aaa://dra01.dra.ipx.cmi.3gppnetwork.org;transport=sctp,dra.ipx.cmi.3gppnetwork.org,"223.118.35.97,223.118.35.105",,false,1,false,true,1500,,,,,,,,,,
CMI-CCC-DRA,aaa://dra02.dra.ipx.cmi.3gppnetwork.org;transport=sctp,dra.ipx.cmi.3gppnetwork.org,"223.118.35.113,223.118.35.121",,false,1,false,true,1500,,,,,,,,,,
Telus-barlowdea-1,aaa://abbrlw.tsa7.dsr.epc.mnc220.mcc302.3gppnetwork.org;transport=sctp,epc.mnc220.mcc302.3gppnetwork.org,96.1.168.166,,false,1,false,false,1500,,,,,,,,,,
Telus-gilmoredea-1,aaa://bcglmr.tsa7.dsr.epc.mnc220.mcc302.3gppnetwork.org;transport=sctp,epc.mnc220.mcc302.3gppnetwork.org,96.1.168.230,,false,1,false,false,1500,,,,,,,,,,
Telus-hooddea-1,aaa://onhood.tsa7.dsr.epc.mnc220.mcc302.3gppnetwork.org;transport=sctp,epc.mnc220.mcc302.3gppnetwork.org,96.1.168.101,,false,1,false,false,1500,,,,,,,,,,
