display_name,name,realm,remote_ip,remote_pip,attempt_connect,maxActive,disabled,peer_test_mode,peer_mtu,local_port_range_1,local_port_range_2,local_port_range_3,local_port_range_4,local_port_range_5,local_port_range_6,local_port_range_7,local_port_range_8,MaxInboundStreams,MaxOutboundStreams
Syn-Chicago-DRA,aaa://dp01-chi.syniverse.com:3868;transport=sctp,syniverse.com,"205.174.191.6,205.174.191.22",,false,10,false,false,1500,,,,,,,,,,
Syn-Dallas-DRA,aaa://dp01-dal.syniverse.com:3868;transport=sctp,syniverse.com,"205.174.191.38,205.174.191.54",,false,10,Null,false,1500,,,,,,,,,,
s6a-test-client,aaa://c1.s6a.testclient.com:6011;transport=sctp,testclient.com,"173.209.220.115,173.209.220.123",,false,1,Null,Null,1500,,,,,,,,,,
s6a-test-server,aaa://s1.s6a.testserver.com:6021;transport=sctp,testserver.com,"173.209.220.115,173.209.220.123",,false,1,false,true,1500,,,,,,,,,,
ibasis-draams101-dea,aaa://draams101.ibasis.grx;transport=sctp,ibasis.grx,"62.93.153.4,62.93.153.36",,false,1,false,false,1500,,,,,,,,,,
ibasis-draams102-dea,aaa://draams102.ibasis.grx;transport=sctp,ibasis.grx,"62.93.153.5,62.93.153.37",,false,1,false,false,1500,,,,,,,,,,
ibasis-MP1drahkg101-DEA,aaa://drahkg101.ibasis.grx;transport=sctp,ibasis.grx,"202.63.21.8,202.63.21.72",,false,1,false,false,1500,,,,,,,,,,
ibasis-MP2drahkg102-DEA,aaa://drahkg102.ibasis.grx;transport=sctp,ibasis.grx,"202.63.21.9,202.63.21.73",,false,1,false,false,1500,,,,,,,,,,
TGS,aaa://sgp1dra1.telenor.grx:3868;transport=sctp,telenor.grx,"213.230.171.213,213.230.171.85",,false,1,false,false,1500,,,,,,,,,,
sybase-sg-dra1,aaa://dra01.sg.sybase.ipx;transport=sctp,sg.sybase.ipx,178.248.225.225,,false,1,false,true,1500,,,,,,,,,,
sybase-sg-dra2,aaa://dra02.sg.sybase.ipx;transport=sctp,sg.sybase.ipx,178.248.225.226,,false,1,false,true,1500,,,,,,,,,,
CMI-Riley-DRA,aaa://dra01.dra.ipx.cmi.3gppnetwork.org:3868;transport=sctp,dra.ipx.cmi.3gppnetwork.org,"223.118.35.97,223.118.35.105",,true,1,Null,Null,1500,17174,,,,,,,,17,17
CMI-CCC-DRA,aaa://dra02.dra.ipx.cmi.3gppnetwork.org:3868;transport=sctp,dra.ipx.cmi.3gppnetwork.org,"223.118.35.113,223.118.35.121",,true,1,Null,Null,1500,17175,,,,,,,,17,17
Airtel-dlslf01-HSS,aaa://dlslf01.epc.mnc002.mcc404.3gppnetwork.org:3868;transport=sctp,epc.mnc002.mcc404.3gppnetwork.org,"223.224.96.17,223.224.96.18",,true,1,false,true,1500,17178,,,,,,,,17,17
Airtel-PB-MME,aaa://mmec205.mmegi32769.mme.epc.mnc002.mcc404.3gppnetwork.org;transport=sctp,epc.mnc002.mcc404.3gppnetwork.org,"223.224.44.132,223.224.44.135",,false,1,false,false,1500,,,,,,,,,,
Airtel-Punjab-new-MME,aaa://mmec208.mmegi32772.mme.epc.mnc002.mcc404.3gppnetwork.org;transport=sctp,epc.mnc002.mcc404.3gppnetwork.org,"223.224.44.125,223.224.44.126",,false,1,false,true,1500,,,,,,,,,,
Airtel-pbslf01-HSS,aaa://pbslf01.epc.mnc002.mcc404.3gppnetwork.org:3868;transport=sctp,epc.mnc002.mcc404.3gppnetwork.org,"223.224.96.145,223.224.96.146",,true,1,false,true,1500,17179,,,,,,,,17,17
Airtel-Himachal-MME,aaa://mmec100.mmegi32800.mme.epc.mnc003.mcc404.3gppnetwork.org:3868;transport=sctp,epc.mnc003.mcc404.3gppnetwork.org,"223.224.96.169,223.224.96.170",,false,1,false,false,1500,,,,,,,,,,
Airtel-DEL-MME,aaa://delmme1.epc.mnc010.mcc404.3gppnetwork.org;transport=sctp,epc.mnc010.mcc404.3gppnetwork.org,"223.224.40.16,223.224.40.23",,false,1,false,false,1500,,,,,,,,,,
Airtel-North-HSS1,aaa://hssdel101.epc.mnc010.mcc404.3gppnetwork.org:3868;transport=sctp,epc.mnc010.mcc404.3gppnetwork.org,"223.224.96.212,223.224.96.214","10.3.142.3,10.3.142.67",true,1,false,true,1500,17150,,,,,,,,32,32
Airtel-North-HSS2,aaa://hssdel102.epc.mnc010.mcc404.3gppnetwork.org:3868;transport=sctp,epc.mnc010.mcc404.3gppnetwork.org,"223.224.96.213,223.224.96.215","10.3.142.5,10.3.142.69",true,1,false,true,1500,17151,,,,,,,,32,32
Airtel-North-HSS3,aaa://hssupe201.epc.mnc010.mcc404.3gppnetwork.org:3868;transport=sctp,epc.mnc010.mcc404.3gppnetwork.org,"223.224.96.216,223.224.96.218","10.35.6.3,10.35.6.67",true,1,false,true,1500,17152,,,,,,,,32,32
Airtel-North-HSS4,aaa://hssupe202.epc.mnc010.mcc404.3gppnetwork.org:3868;transport=sctp,epc.mnc010.mcc404.3gppnetwork.org,"223.224.96.217,223.224.96.219","10.35.6.5,10.35.6.69",true,1,false,true,1500,17153,,,,,,,,32,32
Airtel-North-HSS5,aaa://hssupw301.epc.mnc010.mcc404.3gppnetwork.org:3868;transport=sctp,epc.mnc010.mcc404.3gppnetwork.org,"223.224.96.220,223.224.96.222","10.3.70.3,10.3.70.67",true,1,false,true,1500,17154,,,,,,,,32,32
Airtel-North-HSS6,aaa://hssupw302.epc.mnc010.mcc404.3gppnetwork.org:3868;transport=sctp,epc.mnc010.mcc404.3gppnetwork.org,"223.224.96.221,223.224.96.223","10.3.70.5,10.3.70.69",true,1,false,true,1500,17155,,,,,,,,32,32
Airtel-MAN-MME-2,aaa://mmec192.mmegi32770.mme.epc.mnc010.mcc404.3gppnetwork.org;transport=sctp,epc.mnc010.mcc404.3gppnetwork.org,"223.224.96.76,223.224.96.77",,false,1,false,true,1500,,,,,,,,,,
